epoch: 0, loss: 0.2843891382217407, acc: 0.0
epoch: 50, loss: 0.0006321120890788734, acc: 1.0
epoch: 100, loss: 0.0013380241580307484, acc: 1.0
epoch: 150, loss: 0.04702802002429962, acc: 1.0
epoch: 200, loss: 0.041739676147699356, acc: 1.0
epoch: 250, loss: 0.0028245325665920973, acc: 1.0
epoch: 300, loss: 0.047925855964422226, acc: 1.0
epoch: 350, loss: 0.0322590246796608, acc: 1.0
epoch: 400, loss: 0.0030686105601489544, acc: 1.0
epoch: 450, loss: 0.036228012293577194, acc: 1.0
epoch: 500, loss: 0.03809879720211029, acc: 1.0
epoch: 550, loss: 0.00457055913284421, acc: 1.0
epoch: 600, loss: 0.04649994522333145, acc: 1.0
epoch: 650, loss: 0.031329069286584854, acc: 1.0
epoch: 700, loss: 0.005850987508893013, acc: 1.0
epoch: 750, loss: 0.04531414806842804, acc: 1.0
epoch: 800, loss: 0.02738751843571663, acc: 1.0
epoch: 850, loss: 0.007090101949870586, acc: 1.0
epoch: 900, loss: 0.048438213765621185, acc: 1.0
epoch: 950, loss: 0.023103905841708183, acc: 1.0
epoch: 1000, loss: 0.008206215687096119, acc: 1.0
epoch: 1050, loss: 0.04744688794016838, acc: 1.0
epoch: 1100, loss: 0.019300198182463646, acc: 1.0
epoch: 1150, loss: 0.0077848839573562145, acc: 1.0
epoch: 1200, loss: 0.04274563491344452, acc: 1.0
epoch: 1250, loss: 0.016467183828353882, acc: 1.0
epoch: 1300, loss: 0.005577671341598034, acc: 1.0
epoch: 1350, loss: 0.036274418234825134, acc: 1.0
epoch: 1400, loss: 0.014744782820343971, acc: 1.0
epoch: 1450, loss: 0.006255882326513529, acc: 1.0
epoch: 1500, loss: 0.04404746741056442, acc: 1.0
epoch: 1550, loss: 0.01560403686016798, acc: 1.0
epoch: 1600, loss: 0.007161355577409267, acc: 1.0
epoch: 1650, loss: 0.03608890622854233, acc: 1.0
epoch: 1700, loss: 0.012402258813381195, acc: 1.0
epoch: 1750, loss: 0.007438125088810921, acc: 1.0
epoch: 1800, loss: 0.04833553358912468, acc: 1.0
epoch: 1850, loss: 0.006366743706166744, acc: 1.0
epoch: 1900, loss: 0.007525040302425623, acc: 1.0
epoch: 1950, loss: 0.0426313690841198, acc: 1.0
epoch: 2000, loss: 0.006055887322872877, acc: 1.0
epoch: 2050, loss: 0.008061396889388561, acc: 1.0
epoch: 2100, loss: 0.040988996624946594, acc: 1.0
epoch: 2150, loss: 0.008873862214386463, acc: 1.0
epoch: 2200, loss: 0.006980024743825197, acc: 1.0
epoch: 2250, loss: 0.039325322955846786, acc: 1.0
epoch: 2300, loss: 0.004416503477841616, acc: 1.0
epoch: 2350, loss: 0.004069318063557148, acc: 1.0
epoch: 2400, loss: 0.035530101507902145, acc: 1.0
epoch: 2450, loss: 0.009409287944436073, acc: 1.0
epoch: 2500, loss: 0.0016514234011992812, acc: 1.0
epoch: 2550, loss: 0.032072555273771286, acc: 1.0
epoch: 2600, loss: 0.006294769234955311, acc: 1.0
epoch: 2650, loss: 0.0018106536008417606, acc: 1.0
epoch: 2700, loss: 0.02719695121049881, acc: 1.0
epoch: 2750, loss: 0.006962432060390711, acc: 1.0
epoch: 2800, loss: 0.002017855877056718, acc: 1.0
epoch: 2850, loss: 0.0330958217382431, acc: 1.0
epoch: 2900, loss: 0.004141907207667828, acc: 1.0
epoch: 2950, loss: 0.0010068380506709218, acc: 1.0
epoch: 3000, loss: 0.03539663553237915, acc: 1.0
epoch: 3050, loss: 0.0035981531254947186, acc: 1.0
epoch: 3100, loss: 0.001718827523291111, acc: 1.0
epoch: 3150, loss: 0.021130027249455452, acc: 1.0
epoch: 3200, loss: 0.00391976535320282, acc: 1.0
epoch: 3250, loss: 0.0011044448474422097, acc: 1.0
epoch: 3300, loss: 0.022882767021656036, acc: 1.0
epoch: 3350, loss: 0.00205873791128397, acc: 1.0
epoch: 3400, loss: 0.0012505316408351064, acc: 1.0
epoch: 3450, loss: 0.0369349867105484, acc: 1.0
epoch: 3500, loss: 0.0013192592887207866, acc: 1.0
epoch: 3550, loss: 0.0018421621061861515, acc: 1.0
